,COREF,start_token,end_token,prop,cat,text,character_name
4221,34,32648,32648,PROP,PER,Spirit,Good Spirit
4222,34,32663,32663,PROP,PER,Spirit,Good Spirit
4223,20,32666,32666,PRON,PER,he,Mr. Ebenezer Scrooge
4224,20,32677,32677,PRON,PER,me,Mr. Ebenezer Scrooge
4225,20,32679,32679,PRON,PER,I,Mr. Ebenezer Scrooge
4227,20,32684,32684,PRON,PER,I,Mr. Ebenezer Scrooge
4228,20,32687,32687,PRON,PER,I,Mr. Ebenezer Scrooge
4229,20,32693,32693,PRON,PER,I,Mr. Ebenezer Scrooge
4230,20,32704,32704,PRON,PER,me,Mr. Ebenezer Scrooge
4231,20,32708,32708,PRON,PER,I,Mr. Ebenezer Scrooge
4232,34,32726,32727,PROP,PER,Good Spirit,Good Spirit
4233,20,32730,32730,PRON,PER,he,Mr. Ebenezer Scrooge
4234,20,32738,32738,PRON,PER,he,Mr. Ebenezer Scrooge
4236,34,32744,32744,PRON,PER,your,Good Spirit
4237,20,32748,32748,PRON,PER,me,Mr. Ebenezer Scrooge
4238,20,32752,32752,PRON,PER,me,Mr. Ebenezer Scrooge
4239,20,32755,32755,PRON,PER,me,Mr. Ebenezer Scrooge
4240,20,32757,32757,PRON,PER,I,Mr. Ebenezer Scrooge
4241,34,32763,32763,PRON,PER,you,Good Spirit
4242,20,32766,32766,PRON,PER,me,Mr. Ebenezer Scrooge
4243,20,32779,32779,PRON,PER,I,Mr. Ebenezer Scrooge
4244,20,32784,32784,PRON,PER,my,Mr. Ebenezer Scrooge
4245,20,32796,32796,PRON,PER,I,Mr. Ebenezer Scrooge
4248,20,32818,32818,PRON,PER,me,Mr. Ebenezer Scrooge
4249,20,32820,32820,PRON,PER,I,Mr. Ebenezer Scrooge
4251,20,32834,32834,PRON,PER,me,Mr. Ebenezer Scrooge
4252,20,32835,32835,PRON,PER,I,Mr. Ebenezer Scrooge
4253,20,32847,32847,PRON,PER,his,Mr. Ebenezer Scrooge
4254,20,32849,32849,PRON,PER,he,Mr. Ebenezer Scrooge
4255,20,32862,32862,PRON,PER,he,Mr. Ebenezer Scrooge
4256,20,32866,32866,PRON,PER,his,Mr. Ebenezer Scrooge
4257,20,32879,32879,PRON,PER,him,Mr. Ebenezer Scrooge
4258,20,32883,32883,PRON,PER,his,Mr. Ebenezer Scrooge
4259,20,32891,32891,PRON,PER,his,Mr. Ebenezer Scrooge
4260,20,32895,32895,PRON,PER,he,Mr. Ebenezer Scrooge
4263,20,32929,32929,PRON,PER,his,Mr. Ebenezer Scrooge
4264,20,32935,32935,PRON,PER,his,Mr. Ebenezer Scrooge
4266,20,32941,32941,PRON,PER,his,Mr. Ebenezer Scrooge
4267,20,32953,32953,PRON,PER,him,Mr. Ebenezer Scrooge
4268,20,32955,32955,PRON,PER,his,Mr. Ebenezer Scrooge
4269,20,32964,32964,PRON,PER,I,Mr. Ebenezer Scrooge
4271,20,32979,32979,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4272,20,32982,32982,PRON,PER,he,Mr. Ebenezer Scrooge
4274,20,32997,32997,PRON,PER,me,Mr. Ebenezer Scrooge
4275,16,33000,33001,PROP,PER,Jacob Marley,Old Jacob Marley
4276,20,33013,33013,PRON,PER,I,Mr. Ebenezer Scrooge
4277,20,33017,33017,PRON,PER,my,Mr. Ebenezer Scrooge
4278,16,33020,33021,PROP,PER,old Jacob,Old Jacob Marley
4279,20,33024,33024,PRON,PER,my,Mr. Ebenezer Scrooge
4280,20,33028,33028,PRON,PER,He,Mr. Ebenezer Scrooge
4281,20,33036,33036,PRON,PER,his,Mr. Ebenezer Scrooge
4282,20,33041,33041,PRON,PER,his,Mr. Ebenezer Scrooge
